,Unnamed: 0,Date_hourly,weighted_positive_fb,weighted_negative_fb,weighted_neutral_fb,weighted_DocTone,PriceChange,RF_Predictions,XGBoost_Predictions,DecisionTree_Predictions,y_ensemble
0,0,2024010210,0.3098033527919253,0.2807140267016391,0.6049014717218841,0.4613784039691359,-0.2985814284829298,-0.014183374411864574,-0.010085577189718127,-0.019364075397962564,-0.01410536381760116
1,1,2024010211,0.4205785887166928,0.419274296393767,0.3957214838747033,0.2871020985522299,0.3976637256120208,0.08087768093146774,0.07115457549980359,-0.32833124316199414,0.025926824246246635
2,2,2024010212,0.3031014373834388,0.2704254371859395,0.6273695253323398,0.4271438545967694,-0.3514677491213205,0.05534879647476685,-0.19949420255444117,-0.019364075397962564,-0.0010722290303327646
3,3,2024010213,0.2387857651642477,0.2738901184753019,0.7684993342415413,0.7337796265128553,-0.1465510817456904,-0.042439993838370896,-0.15433452695602842,-0.019364075397962564,-0.05995237674678259
4,4,2024010214,0.3287143110369936,0.3210783279154302,0.4559620537208156,0.3921387402446873,-0.2512250329577372,0.04355392366343457,-0.11961626490977806,-0.019364075397962564,0.0054693392805207595
5,5,2024010311,0.5358075034337646,0.4613962785886807,0.4150203422219681,0.3016671202471342,-0.1976828566423993,0.023824677750409872,0.03380320654642063,0.904054570562668,0.14002218202715733
6,6,2024010409,0.007111883458994,0.7135144224612128,0.3896381927192722,0.3163460740294329,0.0428816466552355,-1.0078221362458628,-0.34477154370023766,-0.32833124316199414,-0.7979963970992141
7,7,2024010410,0.3168262840442608,0.5650697483692981,0.2672471194914591,0.3230270722723398,0.3983963287021964,-0.1906563714144191,-0.13859361638171253,0.025117278446720404,-0.15307759117947967
8,8,2024010411,0.2981283928662775,0.3055950908204646,0.5597446554444473,0.4306244983299312,-0.015067426734638,0.05534879647476685,-0.006721723804216968,-0.019364075397962564,0.034263608337785786
9,9,2024010412,0.1433068890736108,0.4700691534223178,0.4085329653021689,0.433572504712613,-0.1029736789230522,-0.14089966748451782,-0.10744203182812437,-0.32833124316199414,-0.15911978518578668
10,10,2024010413,0.3853716670021554,0.4927079566905971,0.4314624490207875,0.4031207029321184,0.0226289852157233,0.054135085096084376,0.10879942124068631,0.16620189963991575,0.07871609858968032
11,11,2024010414,0.3270546824024115,0.4301282019646885,0.5004754513019017,0.5023385026949032,-0.1181617055510786,0.1276080296680533,-0.10706705293283189,-0.019364075397962564,0.06549519701769656
12,12,2024010512,0.3250815097077996,0.3507322036023609,0.4401331317121114,0.3888391941431567,-0.2838554095807469,0.09143325912868502,0.16188561202925256,-0.019364075397962564,0.08995149516396161
13,13,2024010513,0.1013942447973284,0.4833875482104466,0.4443103368326009,0.276194860854151,0.1184147539744452,-0.08765999855642,0.031757336807334564,-0.019364075397962564,-0.05689670336876576
14,14,2024010514,0.2483586204237988,0.4992373296601798,0.5689599785747789,0.3498155138553304,-0.4000905865479056,-0.2753556341543033,-0.20672179962683276,-0.019364075397962564,-0.22951380070877173
15,15,2024010515,0.4076791991645901,0.3485515473446814,0.4020779871876201,0.3680430680401789,0.2349434114793873,0.14017658313970444,0.18068023216098208,-0.32833124316199414,0.08672774224593545
16,16,2024010809,0.1852515785891768,0.5976040766789502,0.4656255593792167,0.4161045450188099,0.7261671440775883,-0.24231824351877718,0.05402323342427644,-0.019364075397962564,-0.1590293941541129
17,17,2024010810,0.3817288766204205,0.3792512940844453,0.4816474953278396,0.458992329954876,0.1596806387225514,-0.11022678697701464,-0.03286034545960652,-0.019364075397962564,-0.08423945435329691
18,18,2024010811,0.2130762886236063,0.5678326999164566,0.360525095682889,0.3183583838515215,0.1070957136808564,-0.181881430285013,-0.20596492280408327,-0.32833124316199414,-0.20532426160979783
19,19,2024010812,0.1568756984934999,0.4574326599899361,0.6343537392379209,0.4263237629803256,0.2163963784698051,0.027183162933233817,0.13828623716457983,-0.019364075397962564,0.04150083655224315
20,20,2024010813,0.3514490335091946,0.5668959430104208,0.4797950730593086,0.398745063479993,0.1439527437889315,-0.17016121961021033,0.07066970579438817,-0.019364075397962564,-0.10642301254190953
21,21,2024010814,0.3263025758675199,0.3962569671913429,0.4768959241206728,0.4483275999834452,0.2664287396061783,0.03369596105338587,-0.2268805528754376,-0.019364075397962564,-0.0209626805577805
22,22,2024010815,0.4374476154508369,0.4544115645176633,0.3526695765508177,0.47140814137052,0.1137065875664267,-0.03920150279104582,-0.03956380412835889,-0.916654852310968,-0.15327556384723764
23,23,2024010909,0.1123376866819677,0.8103320121256958,0.2756218120222937,0.0664306340144862,0.2164663730685844,-0.8136243704553188,0.08392872107544734,-0.9866404818781752,-0.6715799097845201
24,24,2024010910,0.2926749711057823,0.6432828989521657,0.1807150238559119,0.1766762141799082,0.1713093996722912,-1.1760516336075124,-0.42917801816849305,-0.9983755973111818,-1.016061737497423
25,25,2024010911,0.2502364618573574,0.5372212017889112,0.3969619136378767,0.3369810641620661,0.5874333870368087,-0.11281749482365652,-0.03341078803512767,-0.32833124316199414,-0.12626371581308465
26,26,2024010912,0.2937243086254169,0.4832749043553883,0.4568408518000563,0.3161442131187227,0.0788507503141692,-0.029952352040451206,0.009683731634752758,-0.019364075397962564,-0.021311189468969816
27,27,2024010913,0.3393925800031567,0.5901284391522615,0.335323804911956,0.3313233852901163,-0.0295457343346065,-0.04585396062406211,0.00312986302053931,-0.32833124316199414,-0.07357737981599016
28,28,2024010914,0.1107390610466285,0.5379363808989758,0.3431192984694973,0.1868126770947267,-0.0935914486971074,-0.7842116630727194,-0.36845962836738416,-0.32833124316199414,-0.6487703167031146
