,Date_hourly,weighted_positive_fb,weighted_negative_fb,weighted_neutral_fb,weighted_DocTone,PriceChange
0,2024010210,0.3098033527919253,0.2807140267016391,0.6049014717218841,0.4613784039691359,-0.2985814284829298
1,2024010211,0.4205785887166928,0.419274296393767,0.3957214838747033,0.2871020985522299,0.3976637256120208
2,2024010212,0.3031014373834388,0.2704254371859395,0.6273695253323398,0.4271438545967694,-0.3514677491213205
3,2024010213,0.2387857651642477,0.2738901184753019,0.7684993342415413,0.7337796265128553,-0.1465510817456904
4,2024010214,0.3287143110369936,0.3210783279154302,0.4559620537208156,0.3921387402446873,-0.2512250329577372
5,2024010311,0.5358075034337646,0.4613962785886807,0.4150203422219681,0.3016671202471342,-0.1976828566423993
6,2024010409,0.007111883458994,0.7135144224612128,0.3896381927192722,0.3163460740294329,0.0428816466552355
7,2024010410,0.3168262840442608,0.5650697483692981,0.2672471194914591,0.3230270722723398,0.3983963287021964
8,2024010411,0.2981283928662775,0.3055950908204646,0.5597446554444473,0.4306244983299312,-0.015067426734638
9,2024010412,0.1433068890736108,0.4700691534223178,0.4085329653021689,0.433572504712613,-0.1029736789230522
10,2024010413,0.3853716670021554,0.4927079566905971,0.4314624490207875,0.4031207029321184,0.0226289852157233
11,2024010414,0.3270546824024115,0.4301282019646885,0.5004754513019017,0.5023385026949032,-0.1181617055510786
12,2024010512,0.3250815097077996,0.3507322036023609,0.4401331317121114,0.3888391941431567,-0.2838554095807469
13,2024010513,0.1013942447973284,0.4833875482104466,0.4443103368326009,0.276194860854151,0.1184147539744452
14,2024010514,0.2483586204237988,0.4992373296601798,0.5689599785747789,0.3498155138553304,-0.4000905865479056
15,2024010515,0.4076791991645901,0.3485515473446814,0.4020779871876201,0.3680430680401789,0.2349434114793873
16,2024010809,0.1852515785891768,0.5976040766789502,0.4656255593792167,0.4161045450188099,0.7261671440775883
17,2024010810,0.3817288766204205,0.3792512940844453,0.4816474953278396,0.458992329954876,0.1596806387225514
18,2024010811,0.2130762886236063,0.5678326999164566,0.360525095682889,0.3183583838515215,0.1070957136808564
19,2024010812,0.1568756984934999,0.4574326599899361,0.6343537392379209,0.4263237629803256,0.2163963784698051
20,2024010813,0.3514490335091946,0.5668959430104208,0.4797950730593086,0.398745063479993,0.1439527437889315
21,2024010814,0.3263025758675199,0.3962569671913429,0.4768959241206728,0.4483275999834452,0.2664287396061783
22,2024010815,0.4374476154508369,0.4544115645176633,0.3526695765508177,0.47140814137052,0.1137065875664267
23,2024010909,0.1123376866819677,0.8103320121256958,0.2756218120222937,0.0664306340144862,0.2164663730685844
24,2024010910,0.2926749711057823,0.6432828989521657,0.1807150238559119,0.1766762141799082,0.1713093996722912
25,2024010911,0.2502364618573574,0.5372212017889112,0.3969619136378767,0.3369810641620661,0.5874333870368087
26,2024010912,0.2937243086254169,0.4832749043553883,0.4568408518000563,0.3161442131187227,0.0788507503141692
27,2024010913,0.3393925800031567,0.5901284391522615,0.335323804911956,0.3313233852901163,-0.0295457343346065
28,2024010914,0.1107390610466285,0.5379363808989758,0.3431192984694973,0.1868126770947267,-0.0935914486971074
29,2024011009,0.4488523735343389,0.4966099970006398,0.4248808634394956,0.2696195929557969,-0.0123122383649375
30,2024011010,0.3292097288795464,0.4209805804570949,0.56618158670932,0.3815996521490387,0.3251071375794279
31,2024011011,0.2643201016604635,0.8584004760109137,0.1714386862215889,0.2120526112517512,-0.0846937523014673
32,2024011012,0.4065146555058248,0.2749643149670424,0.5386859214182358,0.3636802579839209,0.1916414830102527
33,2024011013,0.4270497176062132,0.4527779192062242,0.361639371686748,0.4205030906510006,0.0784698381559571
34,2024011014,0.291678560687396,0.7064211599555195,0.2788846095080394,0.3179668740142467,0.3271056661561971
35,2024011015,0.1285273877166784,0.7517581445629049,0.2327901617194487,0.3447537234619414,-0.2198070582488648
36,2024011109,0.3182019033936002,0.7279909512797178,0.1939214946588847,0.2942121659377231,-0.1439761829229683
37,2024011110,0.1905977406482523,0.5347783744753593,0.4065368461912537,0.2547411632176567,-0.6060161767221411
38,2024011111,0.4212924385396266,0.4709388003449166,0.4077970984304153,0.3776648448002617,-0.4868333702146398
39,2024011112,0.4482115184035861,0.4286435571125694,0.3823068422237669,0.2653893024152308,0.3903837125985185
40,2024011113,0.2289393749509986,0.4541670099861633,0.4637844698178089,0.3285753402763243,0.5685873926206716
41,2024011114,0.5157530121901188,0.2991199095642934,0.5241522687371882,0.3559571859680245,0.2325012236906482
42,2024011209,0.2356456512000414,0.5513227447753809,0.3596531403851873,0.2261454985340189,-0.126705653021438
43,2024011211,0.3254680568507795,0.424694279399951,0.4591571141034631,0.3252459149259969,-0.1002665623242339
44,2024011212,0.1645676671774552,0.4128944892880166,0.3022978476255312,0.3357810256100471,0.1493121848533697
45,2024011213,0.3149932741378684,0.295962071350853,0.4150176684406387,0.4686272622217219,0.1368557393875711
46,2024011214,0.2210145253736282,0.3299876112965388,0.4957285707472987,0.2443405409319836,-0.1635143380109862
47,2024011215,0.2155466169160169,0.4558400485861238,0.4349913397783484,0.4148133232125857,0.1222344456667889
48,2024011609,0.3031074564056001,0.4073440537625525,0.4634107278811995,0.4571925190443244,-0.017143836790672
49,2024011611,0.3791517538944883,0.4642459687249769,0.4140253616354716,0.3620575682655154,-0.3822927827018587
50,2024011614,0.5303010248001659,0.3428160747787521,0.4010016591149263,0.528402856797944,0.1630061770761889
51,2024011709,0.4139869808907889,0.2102834974781893,0.5856710504199024,0.4228111720424648,-0.68445932637385
