,Unnamed: 0,<TICKER>,<PER>,Date,Time,<OPEN>,<HIGH>,<LOW>,Close/Last,<VOL>,Pct_Change,SMA10,SMA20,SMA50,SMA100,SMA200,SMA500,EMA8,EMA20,EMA50,EMA200,Denoised_Close,ema_pct_change
33,33,SPY,60,240108,140000,472.03,474.0,471.92,473.75,766140,0.3643836196851953,469.89099999999996,469.436,,,,,471.07481406042996,470.17232482008916,470.5409000002392,471.6197916066631,462.42176678269834,0.16251792808117393
34,34,SPY,60,240108,150000,473.76,474.75,473.38,474.54,1856820,0.1646403242147985,470.587,469.7169999999999,,,,,471.8448553803344,470.5882938848426,470.69772745121026,471.6488484065968,462.3216111929862,0.16346476120578934
35,35,SPY,60,240109,90000,471.87,472.19,471.36,472.16,425043,0.0614576048487974,470.967,469.8325000000001,,,,,471.9148875180379,470.7379801815242,470.75507147273146,471.65393449210336,462.3136381146303,0.014842195883857379
36,36,SPY,60,240109,100000,472.16,472.95,471.58,472.23,617374,0.0148254828871554,471.509,469.95799999999997,,,,,471.9849125140295,470.88007730709336,470.8129118071342,471.65966648720683,462.3931588600215,0.014838479955536776
37,37,SPY,60,240109,110000,472.22,474.22,472.21,474.22,483888,0.4235314048536698,472.13899999999995,470.2125,,,,,472.48159862202294,471.1981651826083,470.9465231088152,471.685142442558,462.5552461077709,0.1052334714149783
38,38,SPY,60,240109,120000,474.23,474.465,473.83,474.34,355510,0.0231954958564318,472.59700000000004,470.47299999999996,,,,,472.89457670601786,471.4973875461694,471.0796006339597,471.7115589356669,462.794764192364,0.08740617310798449
39,39,SPY,60,240109,130000,474.35,474.92,473.15,474.27,521442,-0.0168651839359209,472.988,470.7515,,,,,473.2002263269028,471.76144587510566,471.20471433458874,471.73701606068516,463.10640002036115,0.06463377588594721
40,40,SPY,60,240109,140000,474.31,474.54,473.37,473.79,463743,-0.1096329404819594,473.279,471.07699999999994,,,,,473.3312871431466,471.954641506048,471.3060980861735,471.7574437615739,463.4846944271298,0.02769669348239301
41,41,SPY,60,240109,150000,473.79,474.24,472.93,473.85,1361838,0.0126638384094223,473.517,471.36350000000004,,,,,473.4465566668918,472.1351518388053,471.40585894553925,471.7782652166826,463.9240737874885,0.02435282155990315
42,42,SPY,60,240110,90000,474.16,475.34,474.15,474.71,490201,0.115994600978563,473.78599999999994,471.59000000000003,,,,,473.72732185202693,472.3803754732048,471.53543310453773,471.8074367070639,464.4188816941702,0.05930240302343126
43,43,SPY,60,240110,100000,474.7,475.24,473.88,475.22,513542,0.1095428691805432,473.933,471.912,,,,,474.05902810713206,472.65081590432817,471.67992592396763,471.841392560725,464.9634105196936,0.07002050331577081
44,44,SPY,60,240110,110000,475.24,475.27,474.44,474.9,479928,-0.0715427994276643,473.96899999999994,472.27799999999996,,,,,474.2459107499916,472.86502391343976,471.806203338714,471.8718264655934,465.55193268002944,0.03942180863123479
45,45,SPY,60,240110,120000,474.94,475.475,474.605,475.4,434419,0.0968543394955109,474.293,472.62999999999994,,,,,474.5023750277712,473.10645020739787,471.9471365411174,471.9069326699159,466.1787314223364,0.05407833192996314
46,46,SPY,60,240110,130000,475.39,475.925,474.82,475.78,577430,0.0820379057195116,474.64799999999997,473.07849999999996,,,,,474.7862916882665,473.3610739971695,472.09744491205396,471.9454706532998,466.838130963996,0.05983461315206551
47,47,SPY,60,240110,140000,475.76,477.28,475.69,477.26,736471,0.315285017655961,474.95200000000006,473.5455,,,,,475.3360046464295,473.73240028315337,472.2998980527577,471.99835154232176,467.52452581615256,0.11578113517312083
48,48,SPY,60,240110,150000,477.26,477.44,475.22,476.53,1481593,-0.1529564597913125,475.171,473.884,,,,,475.60133694722293,473.99883835142447,472.46578440363,472.0434425717514,468.2324091319056,0.05581994593293338
49,49,SPY,60,240110,160000,476.53,476.53,476.53,476.53,200,0.0,475.39699999999993,474.1925,471.5564,,,,475.8077065145067,474.2399013655745,472.6251654074092,472.08808493422157,468.9563999271826,0.04339129250738871
50,50,SPY,60,240111,90000,477.59,478.1,475.74,476.32,663001,-0.265918465629511,475.65,474.46449999999993,471.63739999999996,,,,475.921549511283,474.43800599742457,472.77006088162847,472.13019354184127,469.69126903104393,0.023926261642581714
51,51,SPY,60,240111,100000,476.32,476.37,473.59,473.99,1074141,-0.489166946590524,475.66400000000004,474.59049999999996,471.68440000000004,,,,475.49231628655343,474.3953387595746,472.81790163136856,472.1486990787384,470.43196363172353,-0.09018991158739054
52,52,SPY,60,240111,110000,474.01,474.24,472.28,472.62,872976,-0.293242758591588,475.45500000000004,474.6205,471.67339999999996,,,,474.8540237784304,474.22625887771034,472.8101407830796,472.153388640144,471.1736302949703,-0.13423823819234126
53,53,SPY,60,240111,120000,472.63,474.35,472.56,473.96,549037,0.2814040581427298,475.329,474.631,471.6998,,,,474.6553518276681,474.20090088935694,472.85523330139023,472.1713648725804,471.91163634219197,-0.04183853159366313
54,54,SPY,60,240111,130000,473.935,475.81,473.88,475.75,645336,0.3829639085528601,475.41400000000004,474.6915,471.77279999999996,,,,474.8986069770752,474.3484341379896,472.9687535640808,472.206973182306,472.6415894874333,0.051248795251224166
55,55,SPY,60,240111,140000,475.76,476.97,475.33,476.81,636836,0.220699512359175,475.55499999999995,474.924,471.89,,,,475.3233609821696,474.5828689819906,473.1193906792149,472.2527744441736,473.3593556442348,0.0894409877927771
56,56,SPY,60,240111,150000,476.83,476.9,475.47,476.35,1171297,-0.1006648071639706,475.61199999999997,475.13,471.965,,,,475.55150298613194,474.751167174182,473.24608124081436,472.2935428576644,474.0610748258964,0.04799722098465242
57,57,SPY,60,240112,90000,477.84,478.59,477.1,477.1,474728,-0.1548635526535979,475.596,475.274,472.108,,,,475.8956134336582,474.9748655385456,473.39721530980205,472.3413683018668,474.74317507544663,0.07236029018213852
58,58,SPY,60,240112,100000,477.16,477.5,475.23,475.81,955711,-0.2829239668035926,475.524,475.3475,472.2364,,,,475.87658822617857,475.0544021539222,473.4918343172608,472.37588205010695,475.4023843746992,-0.003997769036434562
59,59,SPY,60,240112,110000,475.81,476.8,475.415,475.64,561787,-0.0357285471091435,475.43500000000006,475.416,472.3639999999999,,,,475.82401306480557,475.11017337735814,473.5760761087408,472.408360835678,476.03574049499196,-0.011048066383967381
60,60,SPY,60,240112,120000,475.64,476.47,475.39,476.12,390739,0.1009166596585691,475.41499999999996,475.5325000000001,472.4802,,,,475.8897879392932,475.20634734141925,473.67583782996667,472.4452925686564,476.6405987655276,0.013823361722331562
61,61,SPY,60,240112,130000,476.13,477.0,476.13,476.99,352663,0.1806229391132702,475.715,475.68950000000007,472.6178,,,,476.13427950833915,475.37621902318887,473.80580497388956,472.4905135381225,477.21463774855204,0.05137567042667879
62,62,SPY,60,240112,140000,476.93,477.31,476.15,476.27,450528,-0.1383850879584058,476.08000000000004,475.7674999999999,472.73879999999997,,,,476.1644396175971,475.4613410209804,473.90244007295274,472.528120368589,477.75586282382545,0.006334370482452556
63,63,SPY,60,240112,150000,476.24,476.9,475.76,476.665,954871,0.08924071896523,476.3505,475.83975,472.8969,,,,476.27567525813106,475.5759752094585,474.0107757563664,472.56928334999606,478.2626076979112,0.023360761803892238
64,64,SPY,60,240116,90000,475.26,475.6,473.47,474.5,805804,-0.1599124689643544,476.2255,475.81975,473.00849999999997,,,,475.88108075632414,475.47350137998626,474.0299610208226,472.5884944609414,478.7335338665989,-0.08285002201572356
65,65,SPY,60,240116,100000,474.49,476.59,474.15,476.19,1086183,0.3582794157937972,476.16349999999994,475.8592500000001,473.1353,,,,475.949729477141,475.5417393437971,474.1146684317708,472.6243303369519,479.1676280712582,0.014425604125234415
66,66,SPY,60,240116,110000,476.21,476.6,474.63,475.23,1016529,-0.2057915625459275,476.05150000000003,475.83175,473.24549999999994,,,,475.7897895933319,475.5120498824831,474.1584069246425,472.6502573982758,479.5641978019749,-0.033604364894757044
67,67,SPY,60,240116,120000,475.23,475.36,473.94,473.96,607443,-0.267239021105578,475.7375,475.66675,473.3421,,,,475.3831696837026,475.3642356079609,474.15062626093106,472.6632896629696,479.92286491189117,-0.085462092403632
68,68,SPY,60,240116,130000,473.96,475.2,473.83,474.07,604714,0.0232087095957493,475.56350000000003,475.54375,473.44090000000006,,,,475.09135419843534,475.2409750738694,474.1474644467769,472.677286780751,480.24355741820034,-0.06138532112136552
69,69,SPY,60,240116,140000,474.09,474.36,473.08,474.29,632491,0.0421860828112901,475.4285,475.43175,473.5527,,,,474.9132754876719,475.15040601921515,474.1530540763151,472.69333367845496,480.5264995756319,-0.037483045984676444
70,70,SPY,60,240116,150000,474.28,475.05,473.79,474.93,1366304,0.137049843974031,475.3095,475.36225,473.7057,,,,474.91699204596705,475.1294149697661,474.18352254391056,472.715589064739,480.7722003179899,0.000782576206437291
71,71,SPY,60,240117,90000,471.82,471.93,471.05,471.28,726992,-0.1144504260099233,474.73850000000004,475.2267500000001,473.7689,,,,474.1087715913077,474.7628040202646,474.0696589147376,472.70130459643315,480.9814401722759,-0.1701814144778213
72,72,SPY,60,240117,100000,471.32,472.36,471.05,472.02,732322,0.1485190528727804,474.31350000000003,475.19674999999995,473.8057,,,,473.64460012657264,474.5015845897632,473.9892801337675,472.6945254462199,481.1552567581172,-0.09790400274120037
73,73,SPY,60,240117,110000,472.01,472.79,472.0,472.19,562983,0.0381347852799743,473.866,475.10825000000006,473.8739,,,,473.32135565400097,474.2814336764524,473.9187201285217,472.68950529252623,481.29492899258065,-0.06824620664634962
74,74,SPY,60,240117,120000,472.18,472.3,471.13,471.68,426357,-0.1058918209157524,473.584,474.90475000000004,473.95590000000004,,,,472.95660995311187,474.03367808821884,473.8309271823052,472.6794604637449,481.40196012691905,-0.07706090091479378
75,75,SPY,60,240117,130000,471.68,472.03,469.875,470.67,529377,-0.2141282225237429,473.03200000000004,474.59775,474.0021,,,,472.4484744079759,473.7133277941028,473.7069692535873,472.65946583226486,481.4780597473801,-0.1074380893389737
76,76,SPY,60,240117,140000,470.66,471.76,470.55,471.47,538841,0.1720987549398721,472.65599999999995,474.35374999999993,474.0953,,,,472.2310356506479,473.49967752799773,473.6192449691329,472.64763035134683,481.5251248768451,-0.04602380346352408
77,77,SPY,60,240117,150000,471.48,472.6,470.68,472.275,1107502,0.1686179689488332,472.4875,474.1125,474.18240000000003,,,,472.2408055060595,473.38304157295033,473.5665294801473,472.64392258665686,481.5452203177419,0.0020688719448713755
78,78,SPY,60,240118,90000,473.99,474.46,473.4,473.89,566454,-0.0210974915082644,472.4695,474.0165,474.265,,,,472.6072931713796,473.4313233279074,473.57921459857295,472.65632136688913,481.5405583794024,0.07760609863591839
79,79,SPY,60,240118,100000,473.87,474.88,473.41,474.32,770673,0.0949627534977923,472.4725,473.95050000000003,474.3442,,,,472.98789468885076,473.51595920144007,473.60826500647204,472.672875383139,481.5134781347723,0.0805322987965651
80,80,SPY,60,240118,110000,474.3,475.03,473.67,474.47,657312,0.0358422939068133,472.4264999999999,473.86799999999994,474.41600000000005,,,,473.3172514246617,473.60682022987436,473.64205853563,472.6907572201227,481.4664243521474,0.06963322730015875
81,81,SPY,60,240118,120000,474.47,474.55,473.01,473.18,673539,-0.2718823107888845,472.6165,473.67749999999995,474.45020000000005,,,,473.28675110807023,473.56617068417205,473.62393859305627,472.6956253074847,481.4019262474055,-0.006443947796042071
82,82,SPY,60,240118,130000,473.21,474.12,472.43,473.98,642724,0.1627184548086555,472.8125,473.563,474.48940000000005,,,,473.44080641738793,473.6055829999652,473.63790178548544,472.7084051551714,481.3225762010433,0.032550099692629786
