status_code,error,page_rank_integer,page_rank_decimal,rank,domain,website
200,,5,4.82,510919,thefacts.com,thefacts.com
200,,5,4.79,625915,qa.philstar.com,qa.philstar.com
200,,5,5.29,42660,dailytarheel.com,www.dailytarheel.com
200,,3,3.39,4923792,wezl.iheart.com,wezl.iheart.com
200,,6,5.75,11132,scitechdaily.com,scitechdaily.com
200,,5,5.0,133195,teamtalk.com,www.teamtalk.com
200,,5,5.36,33052,marketbusinessnews.com,marketbusinessnews.com
200,,5,4.9,251545,kcbx.org,www.kcbx.org
200,,3,3.35,5148184,cool925.iheart.com,cool925.iheart.com
200,,5,5.32,38214,legalinsurrection.com,legalinsurrection.com
200,,5,5.35,34733,news.utexas.edu,news.utexas.edu
200,,5,5.03,118381,aba.org,www.aba.org
200,,5,5.35,34953,monstersandcritics.com,www.monstersandcritics.com
200,,5,4.99,138286,mainecampus.com,mainecampus.com
200,,6,5.93,8053,missionlocal.org,missionlocal.org
200,,6,5.68,13178,tulsaworld.com,tulsaworld.com
200,,5,5.09,90393,in-cyprus.philenews.com,in-cyprus.philenews.com
200,,2,2.08,48483329,ahdvegas.uloop.com,ahdvegas.uloop.com
200,,5,5.11,84968,massispost.com,massispost.com
200,,3,3.22,7468330,wfpg.com,wfpg.com
200,,5,4.73,934715,plattevalley.newschannelnebraska.com,plattevalley.newschannelnebraska.com
200,,5,4.63,1032463,wurdradio.com,wurdradio.com
200,,5,4.89,311670,lowkickmma.com,www.lowkickmma.com
200,,5,4.85,472089,valleybreeze.com,www.valleybreeze.com
200,,4,3.56,3985547,waterburyroundabout.org,www.waterburyroundabout.org
200,,4,3.5,4244496,mykiss1031.com,mykiss1031.com
200,,5,4.99,137829,wajr.com,wajr.com
200,,4,4.24,1544401,webcommentary.com,www.webcommentary.com
200,,4,3.82,2420225,energy.agwired.com,energy.agwired.com
200,,4,3.94,1982311,power98fm.com,power98fm.com
200,,5,4.81,535906,terracestandard.com,www.terracestandard.com
200,,7,7.11,493,thehill.com,thehill.com
200,,5,4.87,367995,rdnewsnow.com,rdnewsnow.com
200,,5,5.27,45502,helenair.com,helenair.com
200,,5,5.3,41090,tasteofcountry.com,tasteofcountry.com
200,,5,5.11,84347,boatingindustry.com,boatingindustry.com
200,,3,3.32,5497241,gbmwolverine.com,gbmwolverine.com
200,,5,5.36,33099,ucanews.com,www.ucanews.com
200,,6,6.12,6215,kansascity.com,www.kansascity.com
200,,5,4.78,643073,southwalesguardian.co.uk,www.southwalesguardian.co.uk
200,,6,5.81,9817,fox5atlanta.com,www.fox5atlanta.com
