<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
QQQ,60,240501,090000,423.14,423.51,422.08,422.54,162673
QQQ,60,240501,100000,422.58,423.2,421.32,422.8,234041
QQQ,60,240501,110000,422.8,422.89,420.97,421.24,231748
QQQ,60,240501,120000,421.19,422.31,420.68,421.505,150717
QQQ,60,240501,130000,421.58,422.49,421.02,422.36,139831
QQQ,60,240501,140000,422.19,429.15,422.19,429.15,652669
QQQ,60,240501,150000,429.16,430.14,421.3,421.44,1022345
QQQ,60,240502,090000,425.28,425.71,422.94,423.34,301467
QQQ,60,240502,100000,423.23,424.28,420.63,424.04,334402
QQQ,60,240502,110000,424.04,425.05,423.08,424.85,211704
QQQ,60,240502,120000,424.83,424.9,423.2,424.02,154814
QQQ,60,240502,130000,424.13,426.13,424.13,425.62,213968
QQQ,60,240502,140000,425.67,427.45,425.52,427.3,219330
QQQ,60,240502,150000,427.26,427.81,426.05,426.92,505242
QQQ,60,240503,090000,434.44,435.84,433.53,435.43,328145
QQQ,60,240503,100000,435.47,436.48,432.89,433.62,541440
QQQ,60,240503,110000,433.68,435.51,432.9,435.06,281443
QQQ,60,240503,120000,435.1,435.59,434.51,434.74,206779
QQQ,60,240503,130000,434.75,435.49,434.65,435.08,140183
QQQ,60,240503,140000,435.09,436.07,435.09,435.65,172558
QQQ,60,240503,150000,435.59,436,435.15,435.48,632662
QQQ,60,240506,090000,437.31,438.15,436.52,438.15,185860
QQQ,60,240506,100000,438.19,438.32,437.43,437.84,281549
QQQ,60,240506,110000,437.91,438.5,437.41,438.2,180088
QQQ,60,240506,120000,438.21,438.39,437.17,438.35,184543
QQQ,60,240506,130000,438.39,438.71,437.79,438.63,164500
QQQ,60,240506,140000,438.64,439.28,438.52,439.05,243511
QQQ,60,240506,150000,439.04,440.33,438.66,440.33,505714
QQQ,60,240507,090000,440.7,441.26,440.15,440.25,119035
QQQ,60,240507,100000,440.29,441.64,439.99,441.61,212835
QQQ,60,240507,110000,441.66,441.91,441.24,441.65,166798
QQQ,60,240507,120000,441.7,441.94,441.14,441.34,138248
QQQ,60,240507,130000,441.37,441.97,440.03,440.3,135791
QQQ,60,240507,140000,440.26,440.74,439.61,440.26,182720
QQQ,60,240507,150000,440.19,440.88,439.96,440.29,339971
QQQ,60,240508,090000,437.67,439.82,437.57,439.66,155668
QQQ,60,240508,100000,439.65,441.48,439.33,440.89,169458
QQQ,60,240508,110000,440.95,441.3,439.61,439.87,111775
QQQ,60,240508,120000,439.86,440.245,439.39,439.68,80025
QQQ,60,240508,130000,439.66,439.99,439.01,439.93,182061
QQQ,60,240508,140000,439.95,440.31,439.71,439.8,100724
QQQ,60,240508,150000,439.66,440.48,439.4,440.13,281589
QQQ,60,240509,090000,440.33,440.72,438.49,439.65,189205
