<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPY,60,240903,090000,560.47,560.78,558.17,559.09,367800
SPY,60,240903,100000,559.14,559.14,555.15,555.34,594280
SPY,60,240903,110000,555.35,556.975,555.16,555.62,326750
SPY,60,240903,120000,555.61,556.49,554.77,554.9,250367
SPY,60,240903,130000,554.88,555.87,554.28,554.34,235258
SPY,60,240903,140000,554.33,554.38,552.48,552.64,410405
SPY,60,240903,150000,552.63,553.12,549.53,552.16,1413312
SPY,60,240904,090000,550.2,552.54,550.04,552.49,311226
SPY,60,240904,100000,552.47,553.98,550.05,553.98,530245
SPY,60,240904,110000,553.97,554.39,551.35,551.84,306876
SPY,60,240904,120000,551.82,553.07,551.1,552.3,187582
SPY,60,240904,130000,552.27,552.28,550.7,550.95,210721
SPY,60,240904,140000,551,551.73,550.03,550.08,308974
SPY,60,240904,150000,550.08,551.95,549.47,550.84,1078931
SPY,60,240905,090000,550.92,552.27,550.65,551.94,353450
SPY,60,240905,100000,551.97,553.78,550.37,550.42,366221
SPY,60,240905,110000,550.43,550.5,547.37,547.52,370806
SPY,60,240905,120000,547.48,549.27,547.11,548.74,246690
SPY,60,240905,130000,548.67,550.65,547.78,550.63,181669
SPY,60,240905,140000,550.77,551.15,549.89,550.23,215045
SPY,60,240905,150000,550.15,550.25,548.04,549.54,870777
SPY,60,240906,090000,549.94,551.58,547.86,547.87,434600
SPY,60,240906,100000,547.89,548.26,541.56,542.23,669596
SPY,60,240906,110000,542.22,545.49,540.26,540.56,585560
SPY,60,240906,120000,540.52,541.17,539.66,540.18,243407
SPY,60,240906,130000,540.21,542,539.9,540.66,255840
SPY,60,240906,140000,540.62,540.82,539.44,540.47,223571
SPY,60,240906,150000,540.45,541.84,539.68,540.43,1409638
SPY,60,240909,090000,544.65,545.49,544.06,545.25,305481
SPY,60,240909,100000,545.35,546.39,543.32,543.36,328588
SPY,60,240909,110000,543.33,545.99,542.69,545.88,144519
SPY,60,240909,120000,545.97,547.67,545.76,547.55,181890
SPY,60,240909,130000,547.5,547.71,545.61,545.69,156089
SPY,60,240909,140000,545.6,545.85,544.2,545.1,289221
SPY,60,240909,150000,545.03,546.48,544.47,546.42,783442
SPY,60,240910,090000,548.4,548.66,547.66,547.875,280201
SPY,60,240910,100000,547.88,548.1,545.55,546.44,348717
SPY,60,240910,110000,546.4,547.72,544.18,544.18,241561
SPY,60,240910,120000,544.11,545.82,543.43,545.15,260011
SPY,60,240910,130000,545.12,547.16,545.06,547,245834
SPY,60,240910,140000,547.04,548.35,547.04,548.23,264934
SPY,60,240910,150000,548.19,549.14,547.98,548.78,585468
SPY,60,240911,090000,548.7,548.72,544.54,544.68,348671
SPY,60,240911,100000,544.6,544.75,539.97,541.17,686613
SPY,60,240911,110000,541.1,545.15,540.58,544.47,519371
SPY,60,240911,120000,544.49,547.54,544.27,547.34,368813
SPY,60,240911,130000,547.41,550.8,547.36,550.01,372463
SPY,60,240911,140000,549.94,552.68,549.7,551.71,519384
SPY,60,240911,150000,551.47,555.36,551.24,554.36,1105995
SPY,60,240912,090000,555.01,555.37,552.74,553.77,290368
SPY,60,240912,100000,553.77,556.27,553.32,554.46,481273
SPY,60,240912,110000,554.4,556.63,554.07,554.54,316970
SPY,60,240912,120000,554.46,557.24,554.42,557.1,256435
SPY,60,240912,130000,557.12,559.35,557.01,559.14,344789
SPY,60,240912,140000,559.16,559.35,556.58,558.68,429131
SPY,60,240912,150000,558.6,559.22,558.12,559.02,888022
SPY,60,240913,090000,559.71,561.28,559.45,560.95,274611
SPY,60,240913,100000,560.98,562.56,559.99,561.86,360017
SPY,60,240913,110000,561.84,562.78,561.51,562.605,225507
SPY,60,240913,120000,562.6,562.94,561.34,562.18,204120
SPY,60,240913,130000,562.19,563.02,562.14,562.58,190665
SPY,60,240913,140000,562.58,562.97,561.11,561.4,272636
SPY,60,240913,150000,561.29,562.34,561.05,561.97,592585
SPY,60,240916,090000,561.74,562.89,560.84,562.49,276486
SPY,60,240916,100000,562.53,562.81,559.9,560.7,327228
SPY,60,240916,110000,560.62,561.54,560.18,561.27,178315
SPY,60,240916,120000,561.29,561.61,560.36,561.56,203056
SPY,60,240916,130000,561.54,562.54,561.2,562.5,133986
SPY,60,240916,140000,562.5,562.72,561.85,562.7,177044
SPY,60,240916,150000,562.63,563.09,561.96,562.86,433622
SPY,60,240917,090000,565.1,565.54,564.08,564.52,258861
SPY,60,240917,100000,564.51,566.55,564.28,565.11,417733
SPY,60,240917,110000,565.16,565.96,564.77,564.96,239231
SPY,60,240917,120000,564.96,565.18,560.98,561.87,500286
SPY,60,240917,130000,561.92,563.07,560.82,562.64,251901
SPY,60,240917,140000,562.59,563.17,561.38,562.01,286458
SPY,60,240917,150000,561.99,563.16,561.33,563.1,698494
SPY,60,240918,090000,563.71,563.92,562.57,562.93,131797
SPY,60,240918,100000,562.985,563.335,562.23,562.79,297228
SPY,60,240918,110000,562.84,563.13,561.56,561.64,249877
SPY,60,240918,120000,561.62,563.7,561.35,563.62,145997
SPY,60,240918,130000,563.63,564.27,562.87,563.12,219699
SPY,60,240918,140000,562.95,568.67,561.84,563.91,1403594
SPY,60,240918,150000,563.73,565.81,560.84,561.36,1062242
SPY,60,240919,090000,571.01,571.09,568.1,569.63,405977
