<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
QQQ,60,240903,090000,473.26,473.33,469.68,470.59,332424
QQQ,60,240903,100000,470.54,470.96,465.46,465.53,347824
QQQ,60,240903,110000,465.6,467.25,465.13,465.2,204923
QQQ,60,240903,120000,465.67,466.53,464.84,464.96,112159
QQQ,60,240903,130000,464.99,465.92,464.16,464.26,108613
QQQ,60,240903,140000,464.24,464.35,462.43,462.66,204024
QQQ,60,240903,150000,462.77,463.33,459.44,461.84,622846
QQQ,60,240904,090000,458.73,461.39,458.25,460.92,179912
QQQ,60,240904,100000,460.8,463.99,457.74,463.89,291825
QQQ,60,240904,110000,463.89,464.45,461.2,461.91,224305
QQQ,60,240904,120000,461.74,463.75,461.14,463.24,107498
QQQ,60,240904,130000,463.215,463.25,461.61,461.72,99425
QQQ,60,240904,140000,461.77,462.39,460.04,460.13,223355
QQQ,60,240904,150000,460.11,462.12,459.47,460.6,354809
QQQ,60,240905,090000,458.97,463.19,458.97,462.94,235507
QQQ,60,240905,100000,463.25,465.28,461.31,461.37,284071
QQQ,60,240905,110000,461.42,461.54,457.94,458.37,270282
QQQ,60,240905,120000,458.36,460.87,458.35,460.14,145625
QQQ,60,240905,130000,460.16,462.11,459.04,462.01,181906
QQQ,60,240905,140000,462.07,462.72,461.35,461.55,199752
QQQ,60,240905,150000,461.49,461.69,459.33,461.14,364220
QQQ,60,240906,090000,460.33,461.2,455.75,455.86,344040
QQQ,60,240906,100000,455.88,456.84,450,450.72,527425
QQQ,60,240906,110000,450.67,453.39,448.6,449.09,423732
QQQ,60,240906,120000,448.92,449.83,448.19,448.74,163607
QQQ,60,240906,130000,448.745,450.98,448.51,449.37,137435
QQQ,60,240906,140000,449.37,449.69,448.24,449.42,108217
QQQ,60,240906,150000,449.435,450.7,448.33,448.81,525264
QQQ,60,240909,090000,453.09,454.64,452.52,454.47,229200
QQQ,60,240909,100000,454.49,455.24,450.32,450.37,327077
QQQ,60,240909,110000,450.29,453.37,449.85,453.37,164298
QQQ,60,240909,120000,453.35,455.19,453.13,455.04,171489
QQQ,60,240909,130000,455.1,455.46,453.08,453.19,188312
QQQ,60,240909,140000,453.22,453.33,451.56,452.46,217377
QQQ,60,240909,150000,452.42,454.72,451.9,454.52,271771
QQQ,60,240910,090000,456.24,457.8,455.4,456.4,178994
QQQ,60,240910,100000,456.25,457.65,454.24,455.56,227869
QQQ,60,240910,110000,455.52,457.02,453.04,453.04,173461
QQQ,60,240910,120000,453.04,455.29,452.25,454.56,185118
QQQ,60,240910,130000,454.59,457.16,454.5,456.96,185136
QQQ,60,240910,140000,456.97,458.41,456.97,457.83,158866
QQQ,60,240910,150000,457.81,459.16,457.76,458.64,340313
QQQ,60,240911,090000,459.91,459.91,456.77,457.22,292192
QQQ,60,240911,100000,457.23,457.74,451.28,452.67,706156
QQQ,60,240911,110000,452.63,457.8,451.82,457.11,412565
QQQ,60,240911,120000,457.15,460.72,456.99,460.1,410928
QQQ,60,240911,130000,460.12,463.89,460.05,463.19,258247
QQQ,60,240911,140000,463.145,466.58,463,465.22,622566
QQQ,60,240911,150000,465.27,469.37,464.64,468.44,766837
QQQ,60,240912,090000,468.65,469.32,466.86,468.59,225438
QQQ,60,240912,100000,468.6,471.21,467.76,468.99,473419
QQQ,60,240912,110000,469.12,471.79,468.37,468.79,231726
QQQ,60,240912,120000,468.69,471.64,468.68,471.56,167022
QQQ,60,240912,130000,471.6,473.65,471.42,473.6,163733
QQQ,60,240912,140000,473.64,474.04,471.03,473.34,300335
QQQ,60,240912,150000,473.22,473.6,472.3,473.26,565889
QQQ,60,240913,090000,472.44,474.68,472.33,473.85,167725
QQQ,60,240913,100000,473.91,475.49,472.66,474.97,261081
QQQ,60,240913,110000,474.98,475.72,474.72,475.53,206362
QQQ,60,240913,120000,475.51,476.12,474.17,475.69,221222
QQQ,60,240913,130000,475.69,476.53,475.58,476.145,239344
QQQ,60,240913,140000,476.14,476.41,474.62,474.98,228674
QQQ,60,240913,150000,474.83,475.91,474.54,475.35,470380
QQQ,60,240916,090000,473.19,473.8,470.59,473.05,175259
QQQ,60,240916,100000,473.01,473.81,469.89,470.84,200524
QQQ,60,240916,110000,470.78,472.56,470,471.52,123227
QQQ,60,240916,120000,471.61,472.02,470.2,471.98,101203
QQQ,60,240916,130000,471.99,473.19,471.31,473.01,111805
QQQ,60,240916,140000,473.01,473.24,472.24,473.15,86999
QQQ,60,240916,150000,473.13,473.55,472.43,473.22,165892
QQQ,60,240917,090000,476.31,477.04,474.23,475.51,259246
QQQ,60,240917,100000,475.46,477.59,474.98,475.61,341323
QQQ,60,240917,110000,475.71,476.72,474.96,475.75,137190
QQQ,60,240917,120000,475.78,475.98,471.53,472.4,326590
QQQ,60,240917,130000,472.4,473.83,470.99,473.07,203441
QQQ,60,240917,140000,472.92,473.49,471.8,472.54,138450
QQQ,60,240917,150000,472.47,473.55,472.08,473.49,280054
QQQ,60,240918,090000,474.7,474.8,473.21,474.12,155362
QQQ,60,240918,100000,474.19,474.57,472.85,473.77,236708
QQQ,60,240918,110000,473.83,474.18,471.33,471.565,179560
QQQ,60,240918,120000,471.55,474.28,471.26,474.13,141821
QQQ,60,240918,130000,474.12,474.73,473.38,473.8,169013
QQQ,60,240918,140000,473.23,478.78,472.72,474.62,946375
QQQ,60,240918,150000,474.65,475.85,470.83,471.32,1004646
QQQ,60,240919,090000,482.61,483.05,480.51,481.56,299164
QQQ,60,240919,100000,481.64,485.18,481.45,482.92,363871
QQQ,60,240919,110000,482.98,485.1,482.6,483.79,277573
QQQ,60,240919,120000,483.82,485.51,483.7,485.13,217227
QQQ,60,240919,130000,485.15,486.225,484.71,485.98,175171
QQQ,60,240919,140000,486.01,486.19,483.95,484.95,238422
QQQ,60,240919,150000,484.87,485.02,482.96,483.39,627126
QQQ,60,240920,090000,482.47,483.63,481.5,481.63,141854
QQQ,60,240920,100000,481.66,482.26,480.06,480.26,227292
QQQ,60,240920,110000,480.15,481.34,478.31,480.99,242864
