<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ETHUSDT,60,240501,000000,3014.04,3023.24,2988,2999.05,15150.6747
ETHUSDT,60,240501,010000,2999.05,3014.7,2978.27,3002.33,16442.8693
ETHUSDT,60,240501,020000,3002.33,3003.8,2960.03,2987.81,18023.4567
ETHUSDT,60,240501,030000,2987.81,3008,2985.9,3004.37,6505.3377
ETHUSDT,60,240501,040000,3004.37,3013.87,3002.4,3006.19,7007.863
ETHUSDT,60,240501,050000,3006.19,3010.75,2986.21,2995,10166.2717
ETHUSDT,60,240501,060000,2995,2997.11,2950,2954.16,19114.9671
ETHUSDT,60,240501,070000,2954.16,2957.25,2859,2869.71,87637.0947
ETHUSDT,60,240501,080000,2869.7,2874.53,2817,2862.59,74822.1237
ETHUSDT,60,240501,090000,2862.59,2891.75,2857.36,2875.97,30422.4319
ETHUSDT,60,240501,100000,2875.98,2897.66,2860,2894.45,16754.9809
ETHUSDT,60,240501,110000,2894.44,2906.27,2880,2905.39,21421.4789
ETHUSDT,60,240501,120000,2905.4,2934,2898.32,2917.01,21260.1043
ETHUSDT,60,240501,130000,2917,2921.35,2880,2889.64,17983.557
ETHUSDT,60,240501,140000,2889.64,2912.42,2882.03,2906,15255.1265
ETHUSDT,60,240501,150000,2906,2907.56,2865.91,2885.45,21544.1511
ETHUSDT,60,240501,160000,2885.46,2913.23,2875.63,2891.01,15208.6603
ETHUSDT,60,240501,170000,2891,2933.63,2868.72,2921.92,19072.6721
ETHUSDT,60,240501,180000,2921.92,3015.73,2918.14,2990.04,89485.8691
ETHUSDT,60,240501,190000,2990.04,3001.2,2909.97,2926.06,48675.7621
ETHUSDT,60,240501,200000,2926.05,2948,2914.42,2941.19,16862.7516
ETHUSDT,60,240501,210000,2941.2,2976.5,2935.81,2967.99,14539.1633
ETHUSDT,60,240501,220000,2968,2980.49,2966.07,2969.56,10787.2408
ETHUSDT,60,240501,230000,2969.56,2984.89,2962.61,2972.46,10819.1688
ETHUSDT,60,240502,000000,2972.46,2982.18,2944.68,2948.4,13371.6959
ETHUSDT,60,240502,010000,2948.41,2957.05,2893.26,2906.02,23929.1852
ETHUSDT,60,240502,020000,2906.01,2929.49,2901.55,2917.2,23550.3966
ETHUSDT,60,240502,030000,2917.19,2934,2917.19,2929.33,13593.5634
ETHUSDT,60,240502,040000,2929.34,2938,2917.54,2922.8,10692.1103
ETHUSDT,60,240502,050000,2922.8,2923.19,2898.2,2916.06,10234.1064
ETHUSDT,60,240502,060000,2916.05,2925.22,2910.14,2914.6,7378.494
ETHUSDT,60,240502,070000,2914.6,2936.61,2914.05,2921.22,11471.4695
ETHUSDT,60,240502,080000,2921.22,2946.16,2916.73,2941.8,13350.7474
ETHUSDT,60,240502,090000,2941.8,2948.4,2934.6,2946.35,7557.1775
ETHUSDT,60,240502,100000,2946.36,2968,2937.54,2965.66,15119.4854
ETHUSDT,60,240502,110000,2965.66,3002.51,2965.21,2995.55,43060.2839
ETHUSDT,60,240502,120000,2995.54,3013,2980.52,2982.61,22415.576
ETHUSDT,60,240502,130000,2982.61,2988.88,2957.6,2965.81,20809.9176
ETHUSDT,60,240502,140000,2965.8,2997.94,2952.4,2992.26,25160.6418
ETHUSDT,60,240502,150000,2992.25,3001.45,2985.8,2990.17,20554.3486
ETHUSDT,60,240502,160000,2990.16,2995,2976.81,2981.36,11939.2938
ETHUSDT,60,240502,170000,2981.36,2999,2975.63,2992.51,8669.2251
ETHUSDT,60,240502,180000,2992.51,3006,2972,2991.78,15391.0917
ETHUSDT,60,240502,190000,2991.78,3000.99,2980.46,2999.81,7031.5584
ETHUSDT,60,240502,200000,2999.8,3002,2968.84,2986.01,14304.6254
ETHUSDT,60,240502,210000,2986.01,3016.72,2984.52,2996.48,10971.5951
ETHUSDT,60,240502,220000,2996.49,3015.45,2989.85,2997.41,9738.4207
ETHUSDT,60,240502,230000,2997.41,2999,2984.45,2986.19,5644.7094
ETHUSDT,60,240503,000000,2986.19,2995.35,2977.7,2983.59,7945.1354
ETHUSDT,60,240503,010000,2983.6,3015.76,2981.25,3006.99,11579.4794
ETHUSDT,60,240503,020000,3006.99,3036.17,3002.89,3012.2,13633.7731
ETHUSDT,60,240503,030000,3012.19,3023.8,3006.15,3010.15,7861.5913
ETHUSDT,60,240503,040000,3010.14,3017.2,2997.1,3004.01,7962.0799
ETHUSDT,60,240503,050000,3004,3005.31,2995.11,2997.18,6504.7594
ETHUSDT,60,240503,060000,2997.19,2999.2,2981.8,2982.01,8790.7417
ETHUSDT,60,240503,070000,2982.01,2991.69,2958.71,2969,14158.4388
ETHUSDT,60,240503,080000,2969,2983.92,2964.4,2972.11,7303.6658
ETHUSDT,60,240503,090000,2972.11,2990.62,2970.15,2983.2,5248.3697
ETHUSDT,60,240503,100000,2983.2,2986.15,2958.32,2971.01,10351.3667
ETHUSDT,60,240503,110000,2971.01,2985.17,2963.25,2979.5,11671.1222
ETHUSDT,60,240503,120000,2979.49,3045,2969.75,3035.01,49430.6031
ETHUSDT,60,240503,130000,3035,3064.56,3030.6,3061.05,53810.6574
ETHUSDT,60,240503,140000,3061.05,3073.73,3044.35,3055,25297.7626
ETHUSDT,60,240503,150000,3055.01,3086,3048.99,3075.52,23900.9093
ETHUSDT,60,240503,160000,3075.52,3087.99,3063.2,3067.6,16747.2797
ETHUSDT,60,240503,170000,3067.61,3083.5,3062.61,3079.35,7892.4179
ETHUSDT,60,240503,180000,3079.35,3083.09,3066.85,3069.2,7218.294
ETHUSDT,60,240503,190000,3069.2,3074.19,3062.61,3072.5,6391.1167
ETHUSDT,60,240503,200000,3072.51,3126.99,3068.59,3113,27495.2082
ETHUSDT,60,240503,210000,3112.99,3116.53,3094.2,3109.95,7942.1625
ETHUSDT,60,240503,220000,3109.95,3116.6,3104.01,3106,6868.5122
ETHUSDT,60,240503,230000,3106,3120,3098.8,3102.61,9820.3921
ETHUSDT,60,240504,000000,3102.61,3125.86,3098.55,3117.34,8475.8617
ETHUSDT,60,240504,010000,3117.33,3130.85,3105,3105.2,10276.4931
ETHUSDT,60,240504,020000,3105.21,3106.59,3092.85,3100.79,6304.9829
ETHUSDT,60,240504,030000,3100.79,3113.94,3099.42,3112,6150.4791
ETHUSDT,60,240504,040000,3112,3123.06,3105.07,3116.99,8549.9268
ETHUSDT,60,240504,050000,3116.99,3122.83,3106.21,3118.6,5875.5777
ETHUSDT,60,240504,060000,3118.6,3118.6,3104.13,3106.34,5221.0429
ETHUSDT,60,240504,070000,3106.33,3109.05,3095.37,3095.94,6006.6754
ETHUSDT,60,240504,080000,3095.94,3111.28,3095.68,3108.4,5162.3158
ETHUSDT,60,240504,090000,3108.41,3112.89,3102,3106.34,4224.0425
ETHUSDT,60,240504,100000,3106.35,3168,3101.08,3165.34,23801.3968
ETHUSDT,60,240504,110000,3165.34,3167.8,3120.32,3130.45,21885.717
ETHUSDT,60,240504,120000,3130.45,3152.88,3125,3150.81,8507.2612
ETHUSDT,60,240504,130000,3150.8,3158.95,3117.57,3129.61,14218.1204
ETHUSDT,60,240504,140000,3129.61,3135.91,3119.49,3130.6,7683.6783
ETHUSDT,60,240504,150000,3130.6,3131.4,3115.08,3126.81,6959.7548
ETHUSDT,60,240504,160000,3126.8,3129.58,3115.1,3128.41,6783.8323
ETHUSDT,60,240504,170000,3128.4,3135.42,3114.08,3122.21,6026.4085
ETHUSDT,60,240504,180000,3122.21,3131.61,3118.31,3124.51,5370.9968
ETHUSDT,60,240504,190000,3124.5,3140,3119.38,3137.01,5365.3022
ETHUSDT,60,240504,200000,3137.02,3147,3127.63,3127.63,7184.8065
ETHUSDT,60,240504,210000,3127.63,3130,3104.34,3121.53,8831.7368
ETHUSDT,60,240504,220000,3121.54,3124.01,3106.07,3107.4,4051.2232
ETHUSDT,60,240504,230000,3107.4,3119.65,3106.47,3117.23,3346.3161
ETHUSDT,60,240505,000000,3117.24,3126.41,3086.11,3108.3,18146.3477
ETHUSDT,60,240505,010000,3108.3,3113.94,3072.99,3090.2,18492.4282
ETHUSDT,60,240505,020000,3090.2,3096.2,3080.88,3080.89,5919.3423
ETHUSDT,60,240505,030000,3080.88,3087.73,3074,3086.91,7984.7256
ETHUSDT,60,240505,040000,3086.9,3095.4,3085.69,3089,6034.0935
ETHUSDT,60,240505,050000,3089,3097.86,3080.83,3085.71,4263.8199
ETHUSDT,60,240505,060000,3085.71,3096.45,3081.47,3092.44,3628.1836
ETHUSDT,60,240505,070000,3092.43,3114.8,3090.4,3105.7,7654.6502
ETHUSDT,60,240505,080000,3105.7,3171.93,3103.52,3155.79,36786.3106
ETHUSDT,60,240505,090000,3155.79,3157.33,3130.04,3143.92,17320.1768
ETHUSDT,60,240505,100000,3143.93,3152.08,3129,3134.37,8007.4089
ETHUSDT,60,240505,110000,3134.38,3141.17,3127.89,3138.1,4613.9973
ETHUSDT,60,240505,120000,3138.1,3141.04,3129.43,3137.2,3747.8082
ETHUSDT,60,240505,130000,3137.19,3155,3127.04,3147.59,11927.452
ETHUSDT,60,240505,140000,3147.59,3154.83,3128.6,3153.27,8515.3906
ETHUSDT,60,240505,150000,3153.27,3168,3144.44,3160.19,12649.1048
ETHUSDT,60,240505,160000,3160.18,3166.34,3142.89,3148.22,11493.6446
ETHUSDT,60,240505,170000,3148.22,3160.95,3143.67,3147.8,4571.403
ETHUSDT,60,240505,180000,3147.81,3147.94,3130.68,3139.66,6062.9838
ETHUSDT,60,240505,190000,3139.65,3145.78,3132.95,3142.45,3600.6407
ETHUSDT,60,240505,200000,3142.45,3144.72,3133.3,3137.47,5750.1361
ETHUSDT,60,240505,210000,3137.47,3137.72,3122.89,3136.3,3771.5277
ETHUSDT,60,240505,220000,3136.3,3136.84,3126,3131.99,2552.3091
ETHUSDT,60,240505,230000,3132,3146.66,3130.41,3136.41,5266.381
ETHUSDT,60,240506,000000,3136.4,3157.83,3136.4,3147.97,5614.0369
ETHUSDT,60,240506,010000,3147.98,3165.97,3137.16,3143.8,8132.173
ETHUSDT,60,240506,020000,3143.8,3153.5,3132.21,3132.54,5654.3035
ETHUSDT,60,240506,030000,3132.54,3139.2,3124.38,3134.61,6847.5248
ETHUSDT,60,240506,040000,3134.61,3148.1,3127.94,3148.1,5715.8549
ETHUSDT,60,240506,050000,3148.09,3178.58,3141.28,3178.52,14823.9998
ETHUSDT,60,240506,060000,3178.52,3191.94,3172.36,3176.41,17475.1794
ETHUSDT,60,240506,070000,3176.42,3184.34,3168.64,3180.53,8045.5024
ETHUSDT,60,240506,080000,3180.54,3221.4,3175.96,3197.61,30001.7282
ETHUSDT,60,240506,090000,3197.61,3207.45,3192.09,3202.19,9844.0256
ETHUSDT,60,240506,100000,3202.2,3204.1,3131.2,3145.96,31687.6869
ETHUSDT,60,240506,110000,3145.96,3164.3,3138.97,3149.23,26789.9961
ETHUSDT,60,240506,120000,3149.23,3154.99,3085.23,3102.94,42512.0408
ETHUSDT,60,240506,130000,3102.94,3121.06,3095.07,3116.97,23147.9311
ETHUSDT,60,240506,140000,3116.97,3124.26,3073.77,3077.46,27735.8761
ETHUSDT,60,240506,150000,3077.46,3094.07,3056.61,3089.25,25388.5572
ETHUSDT,60,240506,160000,3089.25,3096.36,3069.32,3072.26,11303.2261
ETHUSDT,60,240506,170000,3072.25,3089.55,3060,3070.5,8835.5456
