<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ETHUSDT,60,240901,000000,2513,2516.28,2504.75,2505.4,4364.9541
ETHUSDT,60,240901,010000,2505.4,2508.73,2493.85,2493.86,4434.0318
ETHUSDT,60,240901,020000,2493.85,2495.77,2476.44,2487.59,9864.5564
ETHUSDT,60,240901,030000,2487.59,2495.74,2485.28,2488.74,3376.8103
ETHUSDT,60,240901,040000,2488.75,2491.18,2477.28,2486.4,4646.1055
ETHUSDT,60,240901,050000,2486.4,2488.29,2458.84,2464.72,13260.4468
ETHUSDT,60,240901,060000,2464.72,2478.44,2464.06,2476.6,3942.5641
ETHUSDT,60,240901,070000,2476.61,2488.2,2474.33,2486.82,4971.3611
ETHUSDT,60,240901,080000,2486.82,2489.45,2477.65,2479.7,6004.8267
ETHUSDT,60,240901,090000,2479.71,2492.88,2477.4,2483.88,4227.7625
ETHUSDT,60,240901,100000,2483.89,2484.8,2462.98,2465,5259.109
ETHUSDT,60,240901,110000,2465.01,2478.43,2459.02,2477.74,6876.4727
ETHUSDT,60,240901,120000,2477.73,2481,2462.78,2467.39,5741.3279
ETHUSDT,60,240901,130000,2467.39,2474.2,2453,2472.47,9031.1392
ETHUSDT,60,240901,140000,2472.47,2473.15,2438,2455.64,19847.6506
ETHUSDT,60,240901,150000,2455.63,2489.31,2449.56,2480.83,13358.2479
ETHUSDT,60,240901,160000,2480.83,2487.01,2466.54,2472.22,7049.5338
ETHUSDT,60,240901,170000,2472.23,2477.63,2457.16,2471.01,4346.3453
ETHUSDT,60,240901,180000,2471.01,2499.15,2468.45,2494.13,10363.3804
ETHUSDT,60,240901,190000,2494.13,2514.82,2491.3,2501.71,17025.0561
ETHUSDT,60,240901,200000,2501.71,2516,2500,2502.2,4644.0211
ETHUSDT,60,240901,210000,2502.21,2502.68,2473.6,2485.6,6706.3266
ETHUSDT,60,240901,220000,2485.6,2487.29,2402.57,2406.32,34213.5877
ETHUSDT,60,240901,230000,2406.32,2433.29,2400,2425.72,19572.1584
ETHUSDT,60,240902,000000,2425.71,2455.26,2423.52,2441.12,13661.743
ETHUSDT,60,240902,010000,2441.13,2447,2431.78,2440,8416.9706
ETHUSDT,60,240902,020000,2440,2451.68,2431.5,2437.49,7297.271
ETHUSDT,60,240902,030000,2437.49,2451.92,2437.16,2450.52,5955.6723
ETHUSDT,60,240902,040000,2450.47,2451.35,2434.97,2435.4,9087.8592
ETHUSDT,60,240902,050000,2435.4,2466.2,2435.28,2454.13,11740.8493
ETHUSDT,60,240902,060000,2454.14,2458.64,2445.72,2446.69,6407.0554
ETHUSDT,60,240902,070000,2446.7,2451.33,2433.18,2441.14,10708.1034
ETHUSDT,60,240902,080000,2441.14,2476.15,2438.39,2468.81,21161.9915
ETHUSDT,60,240902,090000,2468.8,2520.41,2461.7,2516.19,29679.1703
ETHUSDT,60,240902,100000,2516.19,2539.53,2510.07,2524.79,25938.5132
ETHUSDT,60,240902,110000,2524.78,2527.97,2514.47,2515.81,9114.0054
ETHUSDT,60,240902,120000,2515.81,2524.67,2510.59,2520.79,8892.7753
ETHUSDT,60,240902,130000,2520.79,2523.19,2504.4,2505.21,10525.8327
ETHUSDT,60,240902,140000,2505.21,2528,2492.55,2519.61,13931.6148
ETHUSDT,60,240902,150000,2519.6,2525.79,2512.75,2513.2,8293.201
ETHUSDT,60,240902,160000,2513.2,2521.4,2505.78,2511.97,10510.6857
ETHUSDT,60,240902,170000,2511.96,2525,2511.75,2522.78,5948.2734
ETHUSDT,60,240902,180000,2522.79,2530.92,2515.55,2523.86,5845.3272
ETHUSDT,60,240902,190000,2523.86,2526.64,2519.21,2524.25,7611.8138
ETHUSDT,60,240902,200000,2524.26,2564.83,2522.22,2554.14,15027.9224
ETHUSDT,60,240902,210000,2554.13,2563.07,2536.7,2544.73,7913.7582
ETHUSDT,60,240902,220000,2544.73,2548.75,2541.17,2545.14,4738.6127
ETHUSDT,60,240902,230000,2545.14,2547.73,2534.44,2538.01,4223.8167
ETHUSDT,60,240903,000000,2538,2540.35,2528.08,2534.65,6004.941
ETHUSDT,60,240903,010000,2534.65,2543.65,2527.63,2535.55,5291.2759
ETHUSDT,60,240903,020000,2535.55,2553.6,2528.29,2529.1,10071.4383
ETHUSDT,60,240903,030000,2529.1,2529.8,2514.73,2516,6362.5033
ETHUSDT,60,240903,040000,2516,2521.99,2513.39,2518.37,5392.7735
ETHUSDT,60,240903,050000,2518.37,2525.2,2515.01,2522.14,3579.5444
ETHUSDT,60,240903,060000,2522.14,2522.14,2512.46,2513.03,5150.6409
ETHUSDT,60,240903,070000,2513.04,2523.62,2513.04,2519.55,5260.2224
